Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,asian_population,black_population,zip code tabulation area
22132.0,10334.0,64647.0,39186.0,1682.0,863.0,722.0,13088
29237.0,11883.0,77273.0,39441.0,3018.0,681.0,1385.0,13090
17022.0,6444.0,108705.0,55886.0,786.0,1541.0,201.0,13104
6213.0,2675.0,81663.0,44109.0,258.0,43.0,51.0,13108
1622.0,572.0,93500.0,35738.0,0.0,0.0,0.0,13112
3653.0,1422.0,72500.0,34391.0,100.0,30.0,74.0,13116
1935.0,712.0,70966.0,31556.0,133.0,0.0,95.0,13120
3427.0,1609.0,64656.0,36963.0,494.0,8.0,20.0,13132
6012.0,2348.0,71000.0,34168.0,657.0,66.0,116.0,13135
7856.0,3396.0,90781.0,69665.0,377.0,20.0,15.0,13152
2418.0,851.0,95924.0,36069.0,137.0,0.0,0.0,13164
7391.0,3087.0,22465.0,20461.0,3455.0,419.0,3569.0,13202
17111.0,7788.0,40118.0,29234.0,4425.0,1423.0,3992.0,13203
20094.0,8392.0,38050.0,22116.0,7569.0,255.0,6656.0,13204
17747.0,7178.0,33874.0,22073.0,5038.0,634.0,8283.0,13205
17132.0,7848.0,51360.0,31281.0,3113.0,457.0,2288.0,13206
12888.0,5290.0,51902.0,27878.0,3055.0,171.0,4894.0,13207
23177.0,8832.0,40868.0,21744.0,6458.0,3393.0,5655.0,13208
13016.0,5895.0,54833.0,32313.0,1629.0,108.0,517.0,13209
19606.0,7432.0,34277.0,21068.0,5669.0,1701.0,4114.0,13210
6274.0,2398.0,63258.0,26766.0,765.0,416.0,152.0,13211
20829.0,8865.0,67719.0,34516.0,2097.0,167.0,472.0,13212
8782.0,3010.0,73929.0,36696.0,621.0,303.0,1470.0,13214
14497.0,5390.0,94331.0,47034.0,335.0,203.0,870.0,13215
15725.0,6236.0,74679.0,38181.0,911.0,169.0,376.0,13219
8672.0,3510.0,68203.0,38526.0,1444.0,541.0,2917.0,13224
8165.0,14.0,-666666666.0,6722.0,24.0,1790.0,711.0,13244
0.0,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,13290
652.0,325.0,53456.0,28525.0,0.0,0.0,0.0,13319
11638.0,4433.0,76032.0,36152.0,1002.0,147.0,108.0,13323
