State,State code,Clean,Bioenergy,Coal,Gas,Fossil,Solar,Hydro,Nuclear,Total Generation,Clean_prop,Bioenergy_prop,Coal_prop,Gas_prop,Fossil_prop,Solar_prop,Hydro_prop,Nuclear_prop,Total Generation_prop
New York,NY,65497.13,1880.13,0.0,60312.01,63159.49,5256.5,26980.83,26812.16,128656.62,0.5090848026319983,0.014613550394841713,0.0,0.4687827956307262,0.49091519736800177,0.04085681716183746,0.20971194486533226,0.2084009357621862,1.0
North Carolina,NC,61646.64,1824.87,14673.74,58131.39,73290.93,11858.41,4686.29,42644.28,134937.57,0.4568530469312586,0.013523809566157148,0.10874465873366475,0.4308021109317442,0.5431469530687413,0.08788071402204738,0.0347293196401862,0.3160297017354025,1.0
North Dakota,ND,18043.02,0.0,24831.19,1453.36,26359.66,1.72,1791.41,0.0,44402.68,0.40634979690415085,0.0,0.559227280875839,0.03273135765679008,0.5936502030958491,3.873640059563972e-05,0.040344636855252886,0.0,1.0
Ohio,OH,22274.59,530.15,42992.71,68864.95,112971.31,1246.67,506.97,16826.79,135245.9,0.1646969704811754,0.003919897017210873,0.31788549597436966,0.5091832728385851,0.8353030295188246,0.009217802535973365,0.0037485054999818854,0.12441626696262142,1.0
Oklahoma,OK,39777.71,311.79,8954.03,36022.92,45009.86,166.82,1679.1,0.0,84787.57,0.4691455363091547,0.003677307888408643,0.10560545608277251,0.4248608610908414,0.5308544636908452,0.0019675053784416747,0.01980361036411351,0.0,1.0
Oregon,OR,42670.54,984.97,0.0,19054.76,19091.9,2012.52,31304.32,0.0,61762.44,0.6908817073936846,0.015947718386773578,0.0,0.3085169562601477,0.30911829260631546,0.032584852541447516,0.5068504417895406,0.0,1.0
Pennsylvania,PA,84311.83,1592.95,23929.78,130163.55,155781.59,1046.54,1910.87,76166.02,240093.43,0.3511625869979033,0.006634708829808463,0.09966861650483314,0.5421370755542957,0.6488373713516442,0.004358886455160393,0.00795886001545315,0.31723491975603,1.0
Rhode Island,RI,1327.32,218.45,0.0,6963.77,7022.67,888.48,7.38,0.0,8349.99,0.15896066941397535,0.026161707978093387,0.0,0.8339854299226707,0.8410393305860246,0.10640491785020102,0.0008838333938124477,0.0,1.0
South Carolina,SC,60613.99,1992.03,14243.46,24143.89,38615.96,2942.0,1310.21,54369.75,99229.95,0.6108437019266865,0.020074886664762,0.1435399292249971,0.2433125281228097,0.38915629807331353,0.029648306786408743,0.01320377567458212,0.5479167328009336,1.0
South Dakota,SD,14586.74,28.75,1874.8,1424.34,3315.99,4.34,4258.54,0.0,17902.73,0.8147774110428968,0.0016059003291676744,0.10472145868255847,0.07955993303814557,0.1852225889571032,0.00024242112795087677,0.23787098392256376,0.0,1.0
Tennessee,TN,45550.52,433.98,15885.54,16520.81,32568.07,751.55,8706.76,35635.4,78118.59,0.5830944977373503,0.005555399809443566,0.2033515965917972,0.2114837198162435,0.41690550226264966,0.009620629353397187,0.11145567271503493,0.4561705478811126,1.0
Texas,TX,184023.7,1472.87,85336.95,256139.77,344538.25,25437.09,620.18,41606.95,528561.97,0.3481591761132569,0.002786560675184406,0.16145117288706942,0.48459742572852904,0.6518407860482283,0.048125085503219235,0.0011733345098588913,0.07871725996480601,1.0
Utah,UT,6486.37,73.82,22390.22,11107.09,33677.04,4628.94,595.36,0.0,40163.41,0.16149948423204102,0.0018379913458543482,0.5574780627441743,0.2765474843893982,0.8385005157679589,0.11525266405417267,0.014823442531398603,0.0,1.0
Vermont,VT,2385.58,422.2,0.0,1.5,9.63,413.51,1140.69,0.0,2395.21,0.9959794757035917,0.1762684691530179,0.0,0.0006262498904062692,0.004020524296408249,0.17264039478793092,0.47623799165835146,0.0,1.0
Virginia,VA,36561.66,3645.3,3346.07,48801.99,53322.78,5015.07,-364.71,28197.34,89884.44,0.40676295029484527,0.04055540647524755,0.03722635419434109,0.5429414701810458,0.5932370497051547,0.055794640318168526,-0.004057543218826306,0.3137065770226749,1.0
Washington,WA,98646.65,1312.82,3565.97,14532.32,18455.34,476.5,78926.59,9851.54,117101.99,0.8423994331778648,0.01121091110407261,0.03045183092106291,0.12409968438623459,0.15760056682213514,0.004069102497745768,0.6739987083054694,0.08412786153335225,1.0
"Washington, D.C.",DC,313.51,57.7,0.0,80.27,80.29,198.11,0.0,0.0,393.8,0.7961147790756729,0.14652107668867445,0.0,0.20383443372270185,0.2038852209243271,0.503072625698324,0.0,0.0,1.0
West Virginia,WV,3697.57,10.2,50717.5,2110.47,53000.99,33.21,1647.26,0.0,56698.56,0.06521453102159915,0.00017989874875129104,0.8945112539013337,0.03722263845854286,0.9347854689784009,0.000585729161375527,0.029052942438044283,0.0,1.0
Wisconsin,WI,16119.82,1153.76,21922.95,23276.43,45252.19,1032.5,1990.98,10077.02,61372.01,0.2626575209122204,0.018799449455867586,0.3572141437114411,0.37926784539075714,0.7373424790877796,0.01682363018581272,0.03244117310154906,0.1641956976804247,1.0
Wyoming,WY,10733.76,0.0,33517.89,1661.25,35636.69,208.87,744.75,0.0,46370.45,0.23147845233332867,0.0,0.7228286548868946,0.03582561739211071,0.7685215476666715,0.004504377248872936,0.016060874975334507,0.0,1.0
