State,State code,Clean,Bioenergy,Coal,Gas,Fossil,Solar,Hydro,Nuclear,Total Generation,Clean_prop,Bioenergy_prop,Coal_prop,Gas_prop,Fossil_prop,Solar_prop,Hydro_prop,Nuclear_prop,Total Generation_prop,Democrat,Republican,Total,Democrat_prop,Republican_prop,Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,black_prop,white_prop,asian_prop,yearly_sunlight_kwh_kw_threshold_avg,existing_installs_count,carbon_offset_metric_tons,carbon_offset_metric_tons_per_panel,carbon_offset_metric_tons_per_capita,existing_installs_count_per_capita
Tennessee,TN,45550.52,433.98,15885.54,16520.81,32568.07,751.55,8706.76,35635.4,78118.59,0.5830944977373503,0.005555399809443566,0.2033515965917972,0.2114837198162435,0.41690550226264966,0.009620629353397187,0.11145567271503493,0.4561705478811126,1.0,1143711,1852475,3053851,0.374514342710237,0.6066029416628381,23829.775510204083,9449.275510204081,69983.59183673469,39082.607142857145,3180.8826530612246,5057.928571428572,16341.076530612245,591.9489795918367,44.724489795918366,0.18312757635994106,0.728873272633695,0.019143238453680524,1036.5610841783075,7.964689406322077,7.233569181935422,0.2313271924323036,7.233569181935422,0.00035269318157297487
Texas,TX,184023.7,1472.87,85336.95,256139.77,344538.25,25437.09,620.18,41606.95,528561.97,0.3481591761132569,0.002786560675184406,0.16145117288706942,0.48459742572852904,0.6518407860482283,0.048125085503219235,0.0011733345098588913,0.07871725996480601,1.0,5259126,5890347,11315056,0.4647900991387051,0.5205760360355265,30324.17593790427,10957.25873221216,77400.29236739974,38841.69340232859,4113.390685640362,4078.084087968952,16970.846054333764,1846.8654592496766,179.21345407503233,0.13217068488290376,0.5903565123800145,0.04743815329133007,1126.5142133327527,22.160679755798288,5.767836503133223,0.16833351680548464,5.767836503133223,0.0008458157396834564
Utah,UT,6486.37,73.82,22390.22,11107.09,33677.04,4628.94,595.36,0.0,40163.41,0.16149948423204102,0.0018379913458543482,0.5574780627441743,0.2765474843893982,0.8385005157679589,0.11525266405417267,0.014823442531398603,0.0,1.0,560282,865140,1488289,0.3764604858330606,0.5812983902991959,27800.78125,9093.28125,87461.4375,38430.177083333336,2342.2604166666665,359.2604166666667,22553.552083333332,760.8333333333334,220.54166666666666,0.01260257565484712,0.8216723388915019,0.024691982454057144,1212.8894669580068,41.50158655402513,2.17233865308089,0.09359596515622763,2.17233865308089,0.002379731841407859
Vermont,VT,2385.58,422.2,0.0,1.5,9.63,413.51,1140.69,0.0,2395.21,0.9959794757035917,0.1762684691530179,0.0,0.0006262498904062692,0.004020524296408249,0.17264039478793092,0.47623799165835146,0.0,1.0,242820,112704,370968,0.6545578055250049,0.3038105712622113,15957.875,6792.5,87987.0,49129.375,2040.25,460.375,13747.0,780.875,15.25,0.028967601802587617,0.8647231947848104,0.048914550633361635,943.5,18.53438790438103,2.8246821114233156,0.11868134267621741,2.8246821114233156,0.0010438719396743284
Virginia,VA,36561.66,3645.3,3346.07,48801.99,53322.78,5015.07,-364.71,28197.34,89884.44,0.40676295029484527,0.04055540647524755,0.03722635419434109,0.5429414701810458,0.5932370497051547,0.055794640318168526,-0.004057543218826306,0.3137065770226749,1.0,2413568,1962430,4460524,0.5410951717780242,0.4399550366728214,22739.427272727273,8865.818181818182,93531.53181818181,47641.25454545455,2243.163636363636,4872.45,13541.318181818182,1932.6727272727273,56.47727272727273,0.19192946467011274,0.6546840697278061,0.06285730114609316,1051.700046559528,11.956081200634943,5.6429966355642485,0.1954336890921075,5.6429966355642485,0.0004186127917739612
Washington,WA,98646.65,1312.82,3565.97,14532.32,18455.34,476.5,78926.59,9851.54,117101.99,0.8423994331778648,0.01121091110407261,0.03045183092106291,0.12409968438623459,0.15760056682213514,0.004069102497745768,0.6739987083054694,0.08412786153335225,1.0,2369612,1584651,4087631,0.5797030113530306,0.3876697774334327,26973.308016877636,10508.966244725738,102256.84388185653,52406.22362869198,2485.4388185654007,1215.3037974683543,18434.628691983122,2891.240506329114,248.1350210970464,0.041324679665142465,0.7105875665030423,0.09222906748770202,880.9971710919737,26.60910818832929,1.7162202880452282,0.06716704247763723,1.7162202880452282,0.0010452628964147791
"Washington, D.C.",DC,313.51,57.7,0.0,80.27,80.29,198.11,0.0,0.0,393.8,0.7961147790756729,0.14652107668867445,0.0,0.20383443372270185,0.2038852209243271,0.503072625698324,0.0,0.0,1.0,317323,18586,344356,0.9214969392140692,0.0539732137671479,31519.095238095237,14972.380952380952,109170.76190476191,77763.71428571429,4658.333333333333,14084.761904761905,12384.47619047619,1242.3809523809523,104.23809523809524,0.3529630854442682,0.4631158604724088,0.06487659197843698,1037.0,21.44134674833466,1.7093135423120285,0.1920730738921707,1.7093135423120285,0.0007234101175865575
West Virginia,WV,3697.57,10.2,50717.5,2110.47,53000.99,33.21,1647.26,0.0,56698.56,0.06521453102159915,0.00017989874875129104,0.8945112539013337,0.03722263845854286,0.9347854689784009,0.000585729161375527,0.029052942438044283,0.0,1.0,235984,545382,794652,0.2969652124451961,0.6863155192461606,9767.535211267606,4088.492957746479,57625.464788732395,32309.788732394365,1628.281690140845,525.9014084507043,8601.915492957747,131.4788732394366,9.859154929577464,0.055424279203401504,0.8870376161989029,0.00884007075594798,978.6670471937502,1.4875896719682105,5.669287672750349,0.2373743709570261,5.669287672750349,0.00017551589012514598
Wisconsin,WI,16119.82,1153.76,21922.95,23276.43,45252.19,1032.5,1990.98,10077.02,61372.01,0.2626575209122204,0.018799449455867586,0.3572141437114411,0.37926784539075714,0.7373424790877796,0.01682363018581272,0.03244117310154906,0.1641956976804247,1.0,1630866,1610184,3298041,0.4944953686142774,0.4882243731960882,19563.658415841583,8094.846534653465,82676.30198019803,43710.5099009901,2139.861386138614,1711.0148514851485,15240.282178217822,725.1485148514852,93.84653465346534,0.06555205487893738,0.8217256708518861,0.029829329702997714,976.8076640384564,11.257892591037919,6.448239371193826,0.22318399609905099,6.448239371193826,0.0005429393523941141
Wyoming,WY,10733.76,0.0,33517.89,1661.25,35636.69,208.87,744.75,0.0,46370.45,0.23147845233332867,0.0,0.7228286548868946,0.03582561739211071,0.7685215476666715,0.004504377248872936,0.016060874975334507,0.0,1.0,73491,193559,278503,0.2638786655799039,0.6949978994840271,19357.0,8012.111111111111,70397.11111111111,39374.333333333336,1682.6666666666667,295.1111111111111,16948.88888888889,171.11111111111111,196.66666666666666,0.01698158379606653,0.8884672454608764,0.00988321148520463,1151.753282645426,4.134111273080439,2.9876391347061624,0.10170291456416049,2.9876391347061624,0.0003848125754389062
