Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,zcta
17671,7311,70644,38236,2467,1056,13735,176,92,1570
11885,4277,87306,35636,797,546,10385,428,0,1571
21360,7962,133145,67368,960,704,13276,5741,6,1581
7476,2827,97736,50169,531,278,6581,85,2,1583
10468,4122,88487,44264,909,22,9487,35,0,1588
9268,3272,138750,62601,389,83,8522,141,0,1590
25869,10105,86128,42999,3239,2942,18244,1392,14,1602
20678,7885,58797,30374,3010,2086,11575,2877,139,1603
40724,16811,68823,36543,5910,6382,25323,2808,142,1604
30590,11683,51360,27829,7551,4284,17508,1290,116,1605
22636,9018,82640,40904,2298,2426,15244,1475,0,1606
8630,3677,63718,34993,1568,1699,5283,117,0,1607
5080,2253,41319,27192,2161,495,2287,453,373,1608
23256,8536,58246,37039,4040,2047,16003,1373,21,1609
27033,9082,39570,20703,7548,3801,13891,2054,16,1610
2188,766,113276,41451,138,43,1968,4,0,1611
5013,1611,130787,53207,60,131,4572,49,0,1612
32973,13157,124532,63477,1745,1539,23957,2971,30,1701
38898,14683,76636,42926,5409,3044,19267,2429,39,1702
18634,7653,124311,67369,770,856,13585,2598,64,1721
14408,5670,143424,78705,655,343,10296,2782,8,1730
1784,460,71250,28925,0,44,941,267,0,1731
5209,1787,247656,104038,195,3,4396,548,0,1741
18311,6476,183657,92389,423,658,15071,876,34,1742
554,213,162350,96342,0,0,410,138,0,1745
14902,5562,149614,71055,452,86,13005,810,0,1746
6021,2171,120750,54306,261,94,5675,22,0,1747
18748,6674,191439,98102,799,146,14251,3077,31,1748
6238,2054,135909,54204,427,27,5881,36,0,1756
30411,11528,93100,44375,2789,1196,22342,755,263,1757
36274,15466,133623,74722,1647,592,28838,4978,52,1760
4404,1511,242688,110862,106,9,3664,342,0,1770
9867,3386,188000,88238,336,51,7577,1553,0,1772
5216,2125,185288,123511,354,44,4658,247,0,1773
14070,5021,207721,95309,554,120,11305,1799,0,1778
40992,16121,104780,54578,2665,2096,31205,3929,28,1801
26004,9990,134189,62916,1347,559,20037,3793,15,1803
35612,13361,162694,81076,1155,816,26580,5348,37,1810
30854,11489,138397,56493,1088,1531,25029,2770,0,1821
26612,9910,137778,58722,1398,486,21871,2321,25,1824
32309,12209,102335,44735,2160,1179,27190,1581,0,1826
3359,1135,193583,67346,33,37,3038,117,0,1827
26885,10472,72195,38599,3791,1173,19091,320,42,1830
25707,10060,78151,37628,2729,723,17523,563,32,1832
8389,3142,148810,61202,255,100,7668,86,7,1833
6742,2613,131952,57155,214,0,6613,11,0,1834
14681,5444,102162,45664,514,682,11467,98,0,1835
6977,3107,30696,21186,2241,241,1615,0,44,1840
52738,16881,51574,22730,10373,2753,12149,690,143,1841
28352,10342,72630,32564,4287,1541,9192,1162,68,1843
52780,19032,93739,43560,4677,2910,32832,2205,114,1844
31624,11311,131852,64324,2216,858,26158,2139,99,1845
16806,5872,66069,26346,3118,2139,9638,2537,0,1850
